,date,open,high,low,close,volume,average,barCount
698,2023-03-29,159.37,161.05,159.35,160.77,37058121.0,160.125,179404
699,2023-03-30,161.59,162.47,161.27,162.36,34726065.0,161.96,166924
700,2023-03-31,162.43,165.0,161.91,164.9,43105312.0,163.759,204781
701,2023-04-03,164.27,166.29,164.21,166.17,37783464.0,165.246,179709
702,2023-04-04,166.59,166.84,165.11,165.63,30911301.0,165.975,148920
703,2023-04-05,164.74,165.05,161.8,163.76,38442588.0,163.423,182269
704,2023-04-06,162.38,164.96,162.0,164.66,32014330.0,163.911,155317
705,2023-04-10,161.39,162.03,160.08,162.03,35075771.0,161.155,171575
706,2023-04-11,162.35,162.36,160.51,160.8,33513123.0,161.177,167758
707,2023-04-12,161.22,162.06,159.78,160.1,36275318.0,160.994,182138
708,2023-04-13,161.59,165.8,161.42,165.56,47988459.0,164.13,224818
709,2023-04-14,164.59,166.32,163.82,165.21,35671612.0,165.024,166606
710,2023-04-17,165.09,165.39,164.03,165.23,29441425.0,164.702,136263
711,2023-04-18,166.07,167.41,165.65,166.47,34325344.0,166.331,153755
712,2023-04-19,165.82,168.16,165.54,167.63,33918135.0,167.233,151682
713,2023-04-20,166.09,167.87,165.56,166.65,36396842.0,166.831,168463
714,2023-04-21,165.05,166.46,164.49,165.02,40190477.0,165.114,181004
715,2023-04-24,164.95,165.6,163.89,165.33,28254221.0,164.888,135274
716,2023-04-25,165.19,166.31,163.73,163.77,33810143.0,164.8,168003
717,2023-04-26,163.05,165.28,162.8,163.76,30434474.0,163.951,151029
718,2023-04-27,165.13,168.56,165.13,168.41,42923150.0,167.084,199746
719,2023-04-28,168.48,169.85,167.88,169.68,37949458.0,168.801,174834
720,2023-05-01,169.29,170.45,168.64,169.59,36206976.0,169.672,159032
721,2023-05-02,170.09,170.35,167.54,168.54,34201074.0,168.713,166492
722,2023-05-03,169.51,170.92,167.16,167.45,42181315.0,169.596,198926
723,2023-05-04,164.83,167.04,164.31,165.79,46697419.0,165.725,227252
724,2023-05-05,171.0,174.3,170.76,173.57,80103962.0,173.398,342503
725,2023-05-08,172.52,173.85,172.11,173.5,38358735.0,173.289,167268
726,2023-05-09,173.13,173.54,171.6,171.77,30446235.0,172.31,142777
727,2023-05-10,173.01,174.03,171.9,173.56,37302251.0,173.119,164457
728,2023-05-11,173.85,174.59,172.17,173.75,36120223.0,173.451,172681
729,2023-05-12,173.62,174.06,171.0,172.57,32664382.0,172.324,153523
730,2023-05-15,173.16,173.21,171.47,172.07,25615336.0,172.099,120954
731,2023-05-16,171.99,173.14,171.79,172.07,30244924.0,172.317,144718
732,2023-05-17,171.75,172.93,170.42,172.69,38067755.0,171.671,176072
733,2023-05-18,173.0,175.24,172.58,175.05,43858785.0,174.22,206557
734,2023-05-19,176.39,176.44,174.94,175.16,36733455.0,175.602,171908
735,2023-05-22,173.96,174.71,173.45,174.2,29957059.0,174.201,140322
736,2023-05-23,173.13,173.38,171.27,171.56,32391309.0,172.32,166067
737,2023-05-24,171.09,172.42,170.52,171.84,30226951.0,171.465,149929
738,2023-05-25,172.5,173.9,171.69,172.99,35249239.0,172.889,173785
739,2023-05-26,173.31,175.77,173.11,175.43,36312158.0,175.098,173798
740,2023-05-30,177.0,178.99,176.57,177.3,37542184.0,177.479,180209
741,2023-05-31,177.32,179.35,176.76,177.25,49770843.0,178.399,250779
742,2023-06-01,177.7,180.12,176.93,180.09,45182282.0,179.187,215013
743,2023-06-02,181.05,181.78,179.26,180.95,43710407.0,180.581,206132
744,2023-06-05,182.63,184.96,178.03,179.58,97095899.0,182.306,460241
745,2023-06-06,180.0,180.12,177.43,179.21,47311241.0,178.643,217986
746,2023-06-07,178.44,181.21,177.32,177.82,41768665.0,178.835,221429
747,2023-06-08,177.89,180.84,177.46,180.57,33884755.0,179.362,168149
748,2023-06-09,181.52,182.23,180.63,180.96,33993268.0,181.545,175931
749,2023-06-12,181.27,183.89,180.97,183.79,30626518.0,182.431,150122
750,2023-06-13,182.79,184.15,182.44,183.31,34783436.0,183.164,183859
751,2023-06-14,183.31,184.39,182.02,183.95,38875820.0,183.66,209294
752,2023-06-15,183.97,186.52,183.78,186.01,43776048.0,185.496,228928
753,2023-06-16,186.61,186.99,184.27,184.92,49277200.0,185.884,189238
754,2023-06-20,184.41,186.1,184.41,185.01,32064546.0,185.365,170615
755,2023-06-21,184.89,185.41,182.59,183.96,31299088.0,184.123,164421
756,2023-06-22,183.74,187.05,183.67,187.0,35847235.0,185.963,174303
